PLZ;Ortschaftsname
9999;Bielersee
9999;Brienzersee
9999;Thunersee
9658;Wildhaus
9657;Unterwasser
9656;Alt St. Johann
9655;Stein SG
9652;Neu St. Johann
9651;Ennetbühl
9650;Nesslau
9643;Krummenau
9642;Ebnat-Kappel
9633;Bächli (Hemberg)
9633;Hemberg
9631;Ulisbach
9630;Wattwil
9622;Krinau
9621;Oberhelfenschwil
9620;Lichtensteig
9615;Dietfurt
9614;Libingen
9613;Mühlrüti
9612;Dreien
9608;Ganterschwil
9607;Mosnang
9606;Bütschwil
9604;Lütisburg
9604;Oberrindal
9604;Unterrindal
9602;Bazenheid
9602;Müselbach
9601;Lütisburg Station
9573;Littenheid
9565;Bussnang
9565;Oberbussnang
9565;Oppikon
9565;Rothenhausen
9565;Schmidshof
9562;Buch b. Märwil
9562;Märwil
9556;Affeltrangen
9556;Zezikon
9555;Tobel
9554;Tägerschen
9553;Bettwiesen
9552;Bronschhofen
9548;Matzingen
9547;Wittenwil
9546;Tuttwil
9545;Wängi
9543;St. Margarethen TG
9542;Münchwilen TG
9536;Schwarzenbach SG
9535;Wilen b. Wil
9534;Gähwil
9533;Dietschwil
9533;Kirchberg SG
9532;Rickenbach b. Wil
9527;Niederhelfenschwil
9526;Zuckenriet
9525;Lenggenwil
9524;Zuzwil SG
9523;Züberwangen
9517;Mettlen
9515;Hosenruck
9514;Wuppenau
9512;Rossrüti
9508;Weingarten-Kalthäusern
9507;Stettfurt
9506;Lommis
9504;Friltschen
9503;Lanterswil
9503;Stehrenberg
9502;Braunau
9500;Wil SG
9498;Planken
9497;Triesenberg
9496;Balzers
9495;Triesen
9494;Schaan
9493;Mauren FL
9492;Eschen
9491;Ruggell
9490;Vaduz
9488;Schellenberg
9487;Gamprin-Bendern
9486;Schaanwald
9485;Nendeln
9479;Gretschins
9479;Malans SG
9479;Oberschan
9478;Azmoos
9477;Trübbach
9476;Fontnas
9476;Weite
9475;Sevelen
9473;Gams
9472;Grabs
9472;Grabserberg
9470;Buchs SG
9470;Werdenberg
9469;Haag (Rheintal)
9468;Sax
9467;Frümsen
9466;Sennwald
9465;Salez
9464;Lienz
9464;Rüthi (Rheintal)
9463;Oberriet SG
9462;Montlingen
9453;Eichberg
9452;Hinterforst
9451;Kriessern
9450;Altstätten SG
9450;Lüchingen
9445;Rebstein
9444;Diepoldsau
9443;Widnau
9442;Berneck
9442;Büriswilen
9437;Marbach SG
9436;Balgach
9435;Heerbrugg
9434;Au SG
9430;St. Margrethen SG
9428;Walzenhausen
9427;Wolfhalden
9426;Lutzenberg
9425;Thal
9424;Rheineck
9423;Altenrhein
9422;Staad SG
9414;Schachen b. Reute
9413;Oberegg
9411;Reute AR
9410;Heiden
9405;Wienacht-Tobel
9404;Rorschacherberg
9403;Goldach
9402;Mörschwil
9400;Rorschach
9327;Tübach
9326;Horn
9325;Roggwil TG
9323;Steinach
9322;Egnach
9320;Arbon
9320;Frasnacht
9320;Stachen
9315;Neukirch (Egnach)
9315;Winden
9314;Steinebrunn
9313;Muolen
9312;Häggenschwil
9308;Lömmenschwil
9306;Freidorf TG
9305;Berg SG
9304;Bernhardzell
9300;Wittenbach
9249;Algetshausen
9249;Niederstetten
9249;Oberstetten
9248;Bichwil
9247;Henau
9246;Niederbüren
9245;Oberbüren
9245;Sonnental
9244;Niederuzwil
9243;Jonschwil
9242;Oberuzwil
9240;Niederglatt SG
9240;Uzwil
9231;Egg (Flawil)
9230;Flawil
9225;St. Pelagiberg
9225;Wilen (Gottshaus)
9223;Halden
9223;Schweizersholz
9220;Bischofszell
9217;Neukirch an der Thur
9216;Heldswil
9216;Hohentannen
9215;Buhwil
9215;Schönenberg an der Thur
9214;Kradolf
9213;Hauptwil
9212;Arnegg
9205;Waldkirch
9204;Andwil SG
9203;Niederwil SG
9200;Gossau SG
9127;St. Peterzell
9126;Necker
9125;Brunnadern
9123;Nassen
9122;Ebersol
9122;Mogelsberg
9116;Wolfertswil
9115;Dicken
9114;Hoffeld
9113;Degersheim
9112;Schachen b. Herisau
9108;Gonten
9108;Gontenbad
9108;Jakobsbad
9107;Urnäsch
9105;Schönengrund
9104;Waldstatt
9103;Schwellbrunn
9100;Herisau
9064;Hundwil
9063;Stein AR
9062;Lustmühle
9058;Brülisau
9057;Schwende
9057;Wasserauen
9057;Weissbad
9056;Gais
9055;Bühler
9054;Haslen AI
9053;Teufen AR
9052;Niederteufen
9050;Appenzell
9050;Appenzell Eggerstanden
9050;Appenzell Enggenhütten
9050;Appenzell Meistersrüte
9050;Appenzell Schlatt
9050;Appenzell Steinegg
9044;Wald AR
9043;Trogen
9042;Speicher
9038;Rehetobel
9037;Speicherschwendi
9036;Grub SG
9035;Grub AR
9034;Eggersriet
9033;Untereggen
9032;Engelburg
9030;Abtwil SG
9030;St. Josefen
9016;St. Gallen
9015;St. Gallen
9014;St. Gallen
9012;St. Gallen
9011;St. Gallen
9010;St. Gallen
9008;St. Gallen
9000;St. Gallen
8967;Widen
8966;Oberwil-Lieli
8965;Berikon
8964;Rudolfstetten
8962;Bergdietikon
8957;Spreitenbach
8956;Killwangen
8955;Oetwil an der Limmat
8954;Geroldswil
8953;Dietikon
8952;Schlieren
8951;Fahrweid
8942;Oberrieden
8934;Knonau
8933;Maschwanden
8932;Mettmenstetten
8926;Hauptikon
8926;Kappel am Albis
8926;Uerzlikon
8925;Ebertswil
8919;Rottenschwil
8918;Unterlunkhofen
8917;Oberlunkhofen
8916;Jonen
8915;Hausen am Albis
8914;Aeugst am Albis
8914;Aeugstertal
8913;Ottenbach
8912;Obfelden
8911;Rifferswil
8910;Affoltern am Albis
8909;Zwillikon
8908;Hedingen
8907;Wettswil
8906;Bonstetten
8905;Arni AG
8905;Islisberg
8904;Aesch ZH
8903;Birmensdorf ZH
8902;Urdorf
8898;Flumserberg Tannenbodenalp
8897;Flumserberg Tannenheim
8896;Flumserberg Bergheim
8895;Flumserberg Portels
8894;Flumserberg Saxli
8893;Flums Hochwiese
8892;Berschis
8890;Flums
8889;Plons
8888;Heiligkreuz (Mels)
8887;Mels
8886;Mädris-Vermol
8885;Mols
8884;Oberterzen
8883;Quarten
8882;Unterterzen
8881;Knoblisbühl
8881;Tscherlach
8881;Walenstadtberg
8880;Walenstadt
8878;Quinten
8877;Murg
8874;Mühlehorn
8873;Amden
8872;Weesen
8868;Oberurnen
8867;Niederurnen
8866;Ziegelbrücke
8865;Bilten
8864;Reichenburg
8863;Buttikon SZ
8862;Schübelbach
8858;Innerthal
8857;Vorderthal
8856;Tuggen
8855;Wangen SZ
8854;Galgenen
8854;Siebnen
8853;Lachen SZ
8852;Altendorf
8849;Alpthal
8847;Egg SZ
8846;Willerzell
8845;Studen SZ
8844;Euthal
8843;Oberiberg
8842;Unteriberg
8841;Gross
8840;Einsiedeln
8840;Trachslau
8836;Bennau
8835;Feusisberg
8834;Schindellegi
8833;Samstagern
8832;Wilen b. Wollerau
8832;Wollerau
8825;Hütten
8824;Schönenberg ZH
8820;Wädenswil
8816;Hirzel
8815;Horgenberg
8810;Horgen
8808;Pfäffikon SZ
8807;Freienbach
8806;Bäch SZ
8805;Richterswil
8804;Au ZH
8803;Rüschlikon
8802;Kilchberg ZH
8800;Thalwil
8784;Braunwald
8783;Linthal
8782;Rüti GL
8777;Betschwanden
8777;Diesbach GL
8775;Hätzingen
8775;Luchsingen
8774;Leuggelbach
8773;Haslen GL
8772;Nidfurn
8767;Elm
8766;Matt
8765;Engi
8762;Schwanden GL
8762;Schwändi b. Schwanden
8762;Sool
8758;Obstalden
8757;Filzbach
8756;Mitlödi
8755;Ennenda
8754;Netstal
8753;Mollis
8752;Näfels
8751;Urnerboden
8750;Glarus
8750;Klöntal
8750;Riedern
8739;Rieden SG
8738;Uetliburg SG
8737;Gommiswald
8735;Rüeterswil
8735;St. Gallenkappel
8734;Ermenswil
8733;Eschenbach SG
8732;Neuhaus SG
8730;Uznach
8727;Walde SG
8726;Ricken SG
8725;Ernetschwil
8725;Gebertingen
8723;Maseltrangen
8723;Rufi
8722;Kaltbrunn
8718;Schänis
8717;Benken SG
8716;Schmerikon
8715;Bollingen
8714;Feldbach
8713;Uerikon
8712;Stäfa
8708;Männedorf
8707;Uetikon am See
8706;Meilen
8704;Herrliberg
8703;Erlenbach ZH
8702;Zollikon
8700;Küsnacht ZH
8646;Wagen
8645;Jona
8640;Hurden
8640;Rapperswil SG
8638;Goldingen
8637;Laupen ZH
8636;Wald ZH
8635;Dürnten
8634;Hombrechtikon
8633;Wolfhausen
8632;Tann
8630;Rüti ZH
8627;Grüningen
8626;Ottikon (Gossau ZH)
8625;Gossau ZH
8624;Grüt (Gossau ZH)
8623;Wetzikon ZH
8620;Wetzikon ZH
8618;Oetwil am See
8617;Mönchaltorf
8616;Riedikon
8615;Freudwil
8615;Wermatswil
8614;Bertschikon (Gossau ZH)
8614;Sulzbach
8610;Uster
8608;Bubikon
8607;Aathal-Seegräben
8606;Greifensee
8606;Nänikon
8605;Gutenswil
8604;Volketswil
8603;Schwerzenbach
8602;Wangen b. Dübendorf
8600;Dübendorf
8599;Salmsach
8598;Bottighofen
8597;Landschlacht
8596;Münsterlingen
8596;Scherzingen
8595;Altnau
8594;Güttingen
8593;Kesswil
8592;Uttwil
8590;Romanshorn
8589;Sitterdorf
8588;Zihlschlacht
8587;Oberaach
8586;Andwil TG
8586;Buch b. Kümmertshausen
8586;Buchackern
8586;Engishofen
8586;Ennetaach
8586;Erlen
8586;Kümmertshausen
8586;Riedt b. Erlen
8585;Birwinken
8585;Happerswil
8585;Herrenhof
8585;Klarsreuti
8585;Langrickenbach
8585;Mattwil
8585;Schönenbaumgarten
8585;Zuben
8584;Leimbach TG
8584;Opfershofen TG
8583;Donzhausen
8583;Götighofen
8583;Sulgen
8582;Dozwil
8581;Schocherswil
8580;Amriswil
8580;Biessenhofen
8580;Hagenwil b. Amriswil
8580;Hefenhofen
8580;Sommeri
8577;Schönholzerswilen
8576;Mauren TG
8575;Bürglen TG
8575;Istighofen
8574;Dettighofen (Lengwil)
8574;Illighausen
8574;Lengwil
8574;Oberhofen TG
8573;Alterswilen
8573;Altishausen
8573;Siegershausen
8572;Andhausen
8572;Berg TG
8572;Graltshausen
8572;Guntershausen b. Berg
8570;Weinfelden
8566;Dotnacht
8566;Ellighausen
8566;Lippoldswilen
8566;Neuwilen
8565;Hugelshofen
8564;Engwilen
8564;Gunterswilen
8564;Hattenhausen
8564;Hefenhausen
8564;Lipperswil
8564;Sonterswil
8564;Wagerswil
8564;Wäldi
8561;Ottoberg
8560;Märstetten
8558;Raperswilen
8556;Engwang
8556;Illhart
8556;Lamperswil TG
8556;Wigoltingen
8555;Müllheim Dorf
8554;Bonau
8554;Müllheim-Wigoltingen
8553;Eschikofen
8553;Harenwilen
8553;Hüttlingen
8553;Mettendorf TG
8552;Felben-Wellhausen
8548;Ellikon an der Thur
8547;Gachnang
8546;Islikon
8546;Kefikon TG
8546;Menzengrüt
8545;Rickenbach Sulz
8545;Rickenbach ZH
8544;Attikon
8543;Bertschikon
8543;Gundetswil
8543;Kefikon ZH
8542;Wiesendangen
8537;Nussbaumen TG
8537;Uerschhausen
8536;Hüttwilen
8535;Herdern
8532;Warth
8532;Weiningen TG
8526;Oberneunforn
8525;Niederneunforn
8525;Wilen b. Neunforn
8524;Buch b. Frauenfeld
8524;Uesslingen
8523;Hagenbuch ZH
8522;Aawangen
8522;Häuslenen
8514;Amlikon-Bissegg
8512;Lustdorf
8512;Thundorf
8512;Wetzikon TG
8508;Homburg
8507;Hörhausen
8506;Lanzenneunforn
8505;Dettighofen
8505;Pfyn
8500;Frauenfeld
8500;Gerlikon
8499;Sternenberg
8498;Gibswil
8497;Fischenthal
8496;Steg im Tösstal
8495;Schmidrüti
8494;Bauma
8493;Saland
8492;Wila
8489;Wildberg
8488;Turbenthal
8487;Rämismühle
8487;Zell ZH
8486;Rikon im Tösstal
8484;Neschwil
8484;Theilingen
8484;Weisslingen
8483;Kollbrunn
8482;Sennhof (Winterthur)
8479;Altikon
8478;Thalheim an der Thur
8477;Oberstammheim
8476;Unterstammheim
8475;Ossingen
8474;Dinhard
